V1,V2,V3
-170,-8,-5416
-169.933320023957,-8,-5126
-169.866640047914,-8,-4487
-169.799960071871,-8,-4018
-169.733280095828,-8,-5010
-169.666600119784,-8,-4985
-169.599920143741,-8,-5393
-169.533240167698,-8,-5495
-169.466560191655,-8,-5107
-169.399880215612,-8,-4806
-169.333200239569,-8,-4668
-169.266520263526,-8,-4590
-169.199840287483,-8,-4698
-169.133160311439,-8,-5052
-169.066480335396,-8,-4989
-168.999800359353,-8,-4816
-168.93312038331,-8,-4540
-168.866440407267,-8,-4654
-168.799760431224,-8,-4879
-168.733080455181,-8,-5209
-168.666400479138,-8,-5200
-168.599720503094,-8,-5189
-168.533040527051,-8,-5071
-168.466360551008,-8,-4784
-168.399680574965,-8,-4651
-168.333000598922,-8,-4458
-168.266320622879,-8,-4447
-168.199640646836,-8,-4468
-168.132960670793,-8,-4455
-168.066280694749,-8,-4384
-167.999600718706,-8,-4270
-167.932920742663,-8,-4200
-167.86624076662,-8,-4207
-167.799560790577,-8,-4189
-167.732880814534,-8,-4208
-167.666200838491,-8,-4261
-167.599520862448,-8,-4468
-167.532840886404,-8,-4642
-167.466160910361,-8,-4727
-167.399480934318,-8,-4718
-167.332800958275,-8,-4697
-167.266120982232,-8,-4685
-167.199441006189,-8,-4748
-167.132761030146,-8,-4625
-167.066081054103,-8,-4521
-166.999401078059,-8,-4427
-166.932721102016,-8,-4136
-166.866041125973,-8,-3912
-166.79936114993,-8,-3937
-166.732681173887,-8,-4156
-166.666001197844,-8,-4395
-166.599321221801,-8,-4390
-166.532641245758,-8,-4301
-166.465961269715,-8,-4302
-166.399281293671,-8,-4326
-166.332601317628,-8,-4429
-166.265921341585,-8,-4461
-166.199241365542,-8,-4279
-166.132561389499,-8,-4061
-166.065881413456,-8,-3694
-165.999201437413,-8,-3278
-165.93252146137,-8,-3126
-165.865841485326,-8,-3208
-165.799161509283,-8,-3530
-165.73248153324,-8,-3813
-165.665801557197,-8,-3764
-165.599121581154,-8,-3768
-165.532441605111,-8,-3720
-165.465761629068,-8,-3640
-165.399081653025,-8,-3581
-165.332401676981,-8,-3440
-165.265721700938,-8,-3503
-165.199041724895,-8,-3486
-165.132361748852,-8,-3351
-165.065681772809,-8,-3540
-164.999001796766,-8,-3728
-164.932321820723,-8,-3777
-164.86564184468,-8,-3962
-164.798961868636,-8,-3980
-164.732281892593,-8,-3988
-164.66560191655,-8,-4135
-164.598921940507,-8,-4336
-164.532241964464,-8,-4337
-164.465561988421,-8,-4337
-164.398882012378,-8,-4352
-164.332202036335,-8,-4330
-164.265522060291,-8,-4427
-164.198842084248,-8,-4494
-164.132162108205,-8,-4281
-164.065482132162,-8,-3463
-163.998802156119,-8,-3233
-163.932122180076,-8,-4126
-163.865442204033,-8,-4775
-163.79876222799,-8,-4816
-163.732082251947,-8,-4689
-163.665402275903,-8,-3600
-163.59872229986,-8,-2633
-163.532042323817,-8,-3149
-163.465362347774,-8,-3538
-163.398682371731,-8,-3537
-163.332002395688,-8,-3503
-163.265322419645,-8,-3433
-163.198642443602,-8,-3440
-163.131962467558,-8,-3477
-163.065282491515,-8,-3495
-162.998602515472,-8,-3592
-162.931922539429,-8,-3682
-162.865242563386,-8,-3639
-162.798562587343,-8,-3736
-162.7318826113,-8,-3898
-162.665202635257,-8,-3978
-162.598522659213,-8,-4088
-162.53184268317,-8,-4173
-162.465162707127,-8,-4227
-162.398482731084,-8,-4194
-162.331802755041,-8,-4112
-162.265122778998,-8,-3968
-162.198442802955,-8,-4001
-162.131762826912,-8,-4166
-162.065082850868,-8,-4202
-161.998402874825,-8,-3523
-161.931722898782,-8,-2321
-161.865042922739,-8,-2360
-161.798362946696,-8,-3361
-161.731682970653,-8,-3858
-161.66500299461,-8,-4100
-161.598323018567,-8,-4209
-161.531643042523,-8,-4208
-161.46496306648,-8,-4291
-161.398283090437,-8,-4362
-161.331603114394,-8,-4249
-161.264923138351,-8,-4202
-161.198243162308,-8,-4324
-161.131563186265,-8,-4420
-161.064883210222,-8,-4252
-160.998203234178,-8,-4202
-160.931523258135,-8,-4297
-160.864843282092,-8,-4430
-160.798163306049,-8,-4378
-160.731483330006,-8,-4137
-160.664803353963,-8,-4063
-160.59812337792,-8,-4142
-160.531443401877,-8,-4358
-160.464763425833,-8,-4615
-160.39808344979,-8,-4669
-160.331403473747,-8,-4787
-160.264723497704,-8,-4953
-160.198043521661,-8,-5089
-160.131363545618,-8,-3951
-160.064683569575,-8,-3824
-159.998003593532,-8,-4342
-159.931323617489,-8,-4649
-159.864643641445,-8,-4567
-159.797963665402,-8,-4801
-159.731283689359,-8,-5094
